Location,Ant_ID,Ant_ID_(partner),start_time,end_time,,,,,,,,,,,,,,,,,,,,,
1,532,428,6,18,,,,,,,,,,,,,,,,,,,,,
1,428,532,6,18,,,,,,,,,,,,,,,,,,,,,
1,594,533,25,32,,,,,,,,,,,,,,,,,,,,,
1,533,594,25,32,,,,,,,,,,,,,,,,,,,,,
1,67,818,88,146,,,,,,,,,,,,,,,,,,,,,
1,818,67,88,146,,,,,,,,,,,,,,,,,,,,,
1,532,428,161,237,,,,,,,,,,,,,,,,,,,,,
1,428,532,161,237,,,,,,,,,,,,,,,,,,,,,
1,533,532,200,237,,,,,,,,,,,,,,,,,,,,,
1,532,533,200,237,,,,,,,,,,,,,,,,,,,,,
1,533,428,200,267,,,,,,,,,,,,,,,,,,,,,
1,428,533,200,267,,,,,,,,,,,,,,,,,,,,,
1,532,630,345,566,,,,,,,,,,,,,,,,,,,,,
1,630,532,345,566,,,,,,,,,,,,,,,,,,,,,
1,532,630,645,724,,,,,,,,,,,,,,,,,,,,,
1,630,532,645,724,,,,,,,,,,,,,,,,,,,,,
1,594,657,921,963,,,,,,,,,,,,,,,,,,,,,
1,657,594,921,963,,,,,,,,,,,,,,,,,,,,,
1,269,594,951,964,,,,,,,,,,,,,,,,,,,,,
1,269,657,951,964,,,,,,,,,,,,,,,,,,,,,
1,594,269,951,964,,,,,,,,,,,,,,,,,,,,,
1,657,269,951,964,,,,,,,,,,,,,,,,,,,,,
1,269,594,966,988,,,,,,,,,,,,,,,,,,,,,
1,594,269,966,988,,,,,,,,,,,,,,,,,,,,,
1,657,269,1007,1064,,,,,,,,,,,,,,,,,,,,,
1,269,657,1007,1064,,,,,,,,,,,,,,,,,,,,,
1,657,269,1066,1387,,,,,,,,,,,,,,,,,,,,,
1,269,657,1066,1387,,,,,,,,,,,,,,,,,,,,,
1,18,699,1223,1247,,,,,,,,,,,,,,,,,,,,,
1,699,18,1223,1247,,,,,,,,,,,,,,,,,,,,,
1,630,797,1271,1316,,,,,,,,,,,,,,,,,,,,,
1,797,630,1271,1316,,,,,,,,,,,,,,,,,,,,,
1,128,72,1337,1347,,,,,,,,,,,,,,,,,,,,,
1,72,128,1337,1347,,,,,,,,,,,,,,,,,,,,,
1,428,262,1351,1366,,,,,,,,,,,,,,,,,,,,,
1,262,428,1351,1366,,,,,,,,,,,,,,,,,,,,,
1,295,797,1416,1427,,,,,,,,,,,,,,,,,,,,,
1,797,295,1416,1427,,,,,,,,,,,,,,,,,,,,,
1,657,533,1463,1474,,,,,,,,,,,,,,,,,,,,,
1,533,657,1463,1474,,,,,,,,,,,,,,,,,,,,,
1,133,797,1465,1560,,,,,,,,,,,,,,,,,,,,,
1,797,133,1465,1560,,,,,,,,,,,,,,,,,,,,,
1,143,267,1518,1533,,,,,,,,,,,,,,,,,,,,,
1,267,143,1518,1533,,,,,,,,,,,,,,,,,,,,,
1,18,72,1531,1570,,,,,,,,,,,,,,,,,,,,,
1,72,18,1531,1570,,,,,,,,,,,,,,,,,,,,,
1,166,174,1565,1579,,,,,,,,,,,,,,,,,,,,,
1,174,166,1565,1579,,,,,,,,,,,,,,,,,,,,,
1,133,797,1580,1668,,,,,,,,,,,,,,,,,,,,,
1,797,133,1580,1668,,,,,,,,,,,,,,,,,,,,,
1,594,133,1596,1599,,,,,,,,,,,,,,,,,,,,,
1,594,797,1596,1599,,,,,,,,,,,,,,,,,,,,,
1,797,594,1596,1599,,,,,,,,,,,,,,,,,,,,,
1,133,594,1596,1599,,,,,,,,,,,,,,,,,,,,,
1,594,561,1617,1657,,,,,,,,,,,,,,,,,,,,,
1,561,594,1617,1657,,,,,,,,,,,,,,,,,,,,,
1,532,15,1622,1719,,,,,,,,,,,,,,,,,,,,,
1,15,532,1622,1719,,,,,,,,,,,,,,,,,,,,,
1,790,269,1643,2104,,,,,,,,,,,,,,,,,,,,,
1,269,790,1643,2104,,,,,,,,,,,,,,,,,,,,,
1,166,174,1651,1840,,,,,,,,,,,,,,,,,,,,,
1,174,166,1651,1840,,,,,,,,,,,,,,,,,,,,,
1,43,18,1659,1789,,,,,,,,,,,,,,,,,,,,,
1,18,43,1659,1789,,,,,,,,,,,,,,,,,,,,,
1,532,15,1757,1878,,,,,,,,,,,,,,,,,,,,,
1,15,532,1757,1878,,,,,,,,,,,,,,,,,,,,,
1,630,797,1771,1825,,,,,,,,,,,,,,,,,,,,,
1,797,630,1771,1825,,,,,,,,,,,,,,,,,,,,,
1,33,295,1805,1834,,,,,,,,,,,,,,,,,,,,,
1,295,33,1805,1834,,,,,,,,,,,,,,,,,,,,,
1,166,174,1847,1883,,,,,,,,,,,,,,,,,,,,,
1,174,166,1847,1883,,,,,,,,,,,,,,,,,,,,,
1,33,756,1905,1913,,,,,,,,,,,,,,,,,,,,,
1,756,33,1905,1913,,,,,,,,,,,,,,,,,,,,,
1,756,295,1930,1945,,,,,,,,,,,,,,,,,,,,,
1,295,756,1930,1945,,,,,,,,,,,,,,,,,,,,,
1,18,q,1957,1960,,,,,,,,,,,,,,,,,,,,,
1,q,18,1957,1960,,,,,,,,,,,,,,,,,,,,,
1,637,15,1976,1980,,,,,,,,,,,,,,,,,,,,,
1,15,637,1976,1980,,,,,,,,,,,,,,,,,,,,,
1,637,15,1988,1996,,,,,,,,,,,,,,,,,,,,,
1,15,637,1988,1996,,,,,,,,,,,,,,,,,,,,,
1,166,797,2026,2038,,,,,,,,,,,,,,,,,,,,,
1,797,166,2026,2038,,,,,,,,,,,,,,,,,,,,,
1,594,561,2026,2227,,,,,,,,,,,,,,,,,,,,,
1,561,594,2026,2227,,,,,,,,,,,,,,,,,,,,,
1,133,324,2042,2099,,,,,,,,,,,,,,,,,,,,,
1,324,133,2042,2099,,,,,,,,,,,,,,,,,,,,,
1,166,637,2060,2189,,,,,,,,,,,,,,,,,,,,,
1,637,166,2060,2189,,,,,,,,,,,,,,,,,,,,,
1,133,324,2119,2127,,,,,,,,,,,,,,,,,,,,,
1,324,133,2119,2127,,,,,,,,,,,,,,,,,,,,,
1,269,790,2124,2221,,,,,,,,,,,,,,,,,,,,,
1,790,269,2124,2221,,,,,,,,,,,,,,,,,,,,,
1,133,324,2141,2269,,,,,,,,,,,,,,,,,,,,,
1,324,133,2141,2269,,,,,,,,,,,,,,,,,,,,,
1,269,790,2224,2231,,,,,,,,,,,,,,,,,,,,,
1,790,269,2224,2231,,,,,,,,,,,,,,,,,,,,,
1,166,594,2390,2398,,,,,,,,,,,,,,,,,,,,,
1,594,166,2390,2398,,,,,,,,,,,,,,,,,,,,,
1,269,699,2393,2440,,,,,,,,,,,,,,,,,,,,,
1,699,269,2393,2440,,,,,,,,,,,,,,,,,,,,,
1,790,637,2470,2488,,,,,,,,,,,,,,,,,,,,,
1,637,790,2470,2488,,,,,,,,,,,,,,,,,,,,,
1,790,637,2490,2568,,,,,,,,,,,,,,,,,,,,,
1,637,790,2490,2568,,,,,,,,,,,,,,,,,,,,,
1,790,637,2575,2594,,,,,,,,,,,,,,,,,,,,,
1,637,790,2575,2594,,,,,,,,,,,,,,,,,,,,,
1,657,269,2669,2677,,,,,,,,,,,,,,,,,,,,,
1,269,657,2669,2677,,,,,,,,,,,,,,,,,,,,,
1,67,630,2684,2708,,,,,,,,,,,,,,,,,,,,,
1,630,67,2684,2708,,,,,,,,,,,,,,,,,,,,,
1,67,630,2714,2761,,,,,,,,,,,,,,,,,,,,,
1,630,67,2714,2761,,,,,,,,,,,,,,,,,,,,,
1,295,637,2734,2743,,,,,,,,,,,,,,,,,,,,,
1,637,295,2734,2743,,,,,,,,,,,,,,,,,,,,,
1,533,67,2749,2756,,,,,,,,,,,,,,,,,,,,,
1,533,630,2749,2756,,,,,,,,,,,,,,,,,,,,,
1,630,533,2749,2756,,,,,,,,,,,,,,,,,,,,,
1,67,533,2749,2756,,,,,,,,,,,,,,,,,,,,,
1,790,797,2758,2896,,,,,,,,,,,,,,,,,,,,,
1,797,790,2758,2896,,,,,,,,,,,,,,,,,,,,,
1,67,630,2770,2779,,,,,,,,,,,,,,,,,,,,,
1,630,67,2770,2779,,,,,,,,,,,,,,,,,,,,,
1,428,532,2773,3171,,,,,,,,,,,,,,,,,,,,,
1,532,428,2773,3171,,,,,,,,,,,,,,,,,,,,,
1,269,630,2848,2999,,,,,,,,,,,,,,,,,,,,,
1,630,269,2848,2999,,,,,,,,,,,,,,,,,,,,,
1,797,594,2958,2961,,,,,,,,,,,,,,,,,,,,,
1,594,797,2958,2961,,,,,,,,,,,,,,,,,,,,,
1,269,630,3006,3054,,,,,,,,,,,,,,,,,,,,,
1,630,269,3006,3054,,,,,,,,,,,,,,,,,,,,,
1,269,630,3060,3083,,,,,,,,,,,,,,,,,,,,,
1,630,269,3060,3083,,,,,,,,,,,,,,,,,,,,,
1,67,269,3066,3070,,,,,,,,,,,,,,,,,,,,,
1,67,630,3066,3070,,,,,,,,,,,,,,,,,,,,,
1,269,67,3066,3070,,,,,,,,,,,,,,,,,,,,,
1,630,67,3066,3070,,,,,,,,,,,,,,,,,,,,,
1,269,630,3094,3180,,,,,,,,,,,,,,,,,,,,,
1,630,269,3094,3180,,,,,,,,,,,,,,,,,,,,,
1,797,594,3154,3156,,,,,,,,,,,,,,,,,,,,,
1,594,797,3154,3156,,,,,,,,,,,,,,,,,,,,,
1,630,67,3318,3397,,,,,,,,,,,,,,,,,,,,,
