Location,Ant_ID,Ant_ID_(partner),start_time,end_time,,,,,,
1,269,699,462,810,,,,,,
1,699,269,462,810,,,,,,
1,46,797,1011,1023,,,,,,
1,797,46,1011,1023,,,,,,
1,646,269,1032,1308,,,,,,
1,269,646,1032,1308,,,,,,
1,657,267,1367,1598,,,,,,
1,267,657,1367,1598,,,,,,
1,646,699,1457,1586,,,,,,
1,699,646,1457,1586,,,,,,
1,657,600,1747,1765,,,,,,
1,600,657,1747,1765,,,,,,
1,600,646,1884,2174,,,,,,
1,646,600,1884,2174,,,,,,
1,76,699,2144,2205,,,,,,
1,699,76,2144,2205,,,,,,
1,262,819,2225,2240,,,,,,
1,819,262,2225,2240,,,,,,
1,46,797,2227,2243,,,,,,
1,797,46,2227,2243,,,,,,
1,18,353,2286,2322,,,,,,
1,353,18,2286,2322,,,,,,
1,46,600,2307,2339,,,,,,
1,600,46,2307,2339,,,,,,
1,77,657,2311,2343,,,,,,
1,657,77,2311,2343,,,,,,
1,43,128,2357,2387,,,,,,
1,128,43,2357,2387,,,,,,
1,18,262,2373,2379,,,,,,
1,262,18,2373,2379,,,,,,
1,295,727,2387,2419,,,,,,
1,727,295,2387,2419,,,,,,
1,334,353,2389,2402,,,,,,
1,353,334,2389,2402,,,,,,
1,133,353,2405,2866,,,,,,
1,353,133,2405,2866,,,,,,
1,128,448,2425,3022,,,,,,
1,448,128,2425,3022,,,,,,
1,1,18,2430,2458,,,,,,
1,18,1,2430,2458,,,,,,
1,194,133,2439,2444,,,,,,
1,194,353,2439,2444,,,,,,
1,353,194,2439,2444,,,,,,
1,133,194,2439,2444,,,,,,
1,195,818,2447,2451,,,,,,
1,818,195,2447,2451,,,,,,
1,133,265,2470,2493,,,,,,
1,265,353,2470,2493,,,,,,
1,265,133,2470,2493,,,,,,
1,353,265,2470,2493,,,,,,
1,1,18,2471,2477,,,,,,
1,18,1,2471,2477,,,,,,
1,265,353,2498,2507,,,,,,
1,265,133,2498,2507,,,,,,
1,353,265,2498,2507,,,,,,
1,133,265,2498,2507,,,,,,
1,67,267,2501,2627,,,,,,
1,267,67,2501,2627,,,,,,
1,571,818,2513,2520,,,,,,
1,818,571,2513,2520,,,,,,
1,298,334,2516,2524,,,,,,
1,334,298,2516,2524,,,,,,
1,18,571,2538,2541,,,,,,
1,571,18,2538,2541,,,,,,
1,265,763,2540,2576,,,,,,
1,763,265,2540,2576,,,,,,
1,18,571,2548,2554,,,,,,
1,571,18,2548,2554,,,,,,
1,353,819,2963,3075,,,,,,
1,819,353,2963,3075,,,,,,
1,67,133,2976,3100,,,,,,
1,133,67,2976,3100,,,,,,
1,699,763,3073,3085,,,,,,
1,763,699,3073,3085,,,,,,
1,298,600,3123,3388,,,,,,
1,600,298,3123,3388,,,,,,
1,77,819,3129,3232,,,,,,
1,819,77,3129,3232,,,,,,
1,133,265,3132,3343,,,,,,
1,265,133,3132,3343,,,,,,
1,600,298,3404,3612,,,,,,
1,298,600,3404,3612,,,,,,
1,77,133,3443,3479,,,,,,
1,133,77,3443,3479,,,,,,
1,77,133,3498,3691,,,,,,
1,133,77,3498,3691,,,,,,
1,133,265,3992,4282,,,,,,
1,265,133,3992,4282,,,,,,
1,265,133,4320,4356,,,,,,
1,133,265,4320,4356,,,,,,
1,q,143,5060,5086,,,,,,
1,143,q,5060,5086,,,,,,
1,1,262,5281,5299,,,,,,
1,262,1,5281,5299,,,,,,
1,262,532,5343,5349,,,,,,
1,532,262,5343,5349,,,,,,
1,72,143,5364,5379,,,,,,
1,143,72,5364,5379,,,,,,
1,1,539,5365,5447,,,,,,
1,539,1,5365,5447,,,,,,
1,334,448,5365,5923,,,,,,
1,448,334,5365,5923,,,,,,
1,291,1,5374,5379,,,,,,
1,291,539,5374,5379,,,,,,
1,1,291,5374,5379,,,,,,
1,539,291,5374,5379,,,,,,
1,72,195,5431,5515,,,,,,
1,195,72,5431,5515,,,,,,
1,174,262,5464,5476,,,,,,
1,262,174,5464,5476,,,,,,
1,33,262,5500,5509,,,,,,
1,262,33,5500,5509,,,,,,
1,33,262,5519,5604,,,,,,
1,262,33,5519,5604,,,,,,
1,18,174,5527,5577,,,,,,
1,174,18,5527,5577,,,,,,
1,262,539,5623,5626,,,,,,
1,539,262,5623,5626,,,,,,
1,539,571,5683,5685,,,,,,
1,571,539,5683,5685,,,,,,
1,77,265,5696,5698,,,,,,
1,265,77,5696,5698,,,,,,
1,262,819,5712,5734,,,,,,
1,819,262,5712,5734,,,,,,
1,46,269,5746,5754,,,,,,
1,269,46,5746,5754,,,,,,
1,532,598,5786,5794,,,,,,
1,598,532,5786,5794,,,,,,
1,265,539,5865,5883,,,,,,
1,539,265,5865,5883,,,,,,
1,598,819,5878,5897,,,,,,
1,819,598,5878,5897,,,,,,
1,265,539,5888,5929,,,,,,
1,539,265,5888,5929,,,,,,
1,532,819,5902,5910,,,,,,
1,819,532,5902,5910,,,,,,
1,265,539,5930,5955,,,,,,
1,539,265,5930,5955,,,,,,
1,46,448,5961,5976,,,,,,
1,448,46,5961,5976,,,,,,
1,67,334,5988,6178,,,,,,
1,334,67,5988,6178,,,,,,
1,174,448,5999,6067,,,,,,
1,448,174,5999,6067,,,,,,
1,265,267,6036,6039,,,,,,
1,267,265,6036,6039,,,,,,
1,18,267,6046,6053,,,,,,
1,267,18,6046,6053,,,,,,
1,77,819,6059,6071,,,,,,
1,819,77,6059,6071,,,,,,
1,174,448,6081,6116,,,,,,
1,448,174,6081,6116,,,,,,
1,174,448,6119,6152,,,,,,
1,448,174,6119,6152,,,,,,
1,353,539,6137,6270,,,,,,
1,539,353,6137,6270,,,,,,
1,46,600,6184,6257,,,,,,
1,600,46,6184,6257,,,,,,
1,331,448,6201,6439,,,,,,
1,448,331,6201,6439,,,,,,
