Location,Ant_ID,Food,start,end
outside,698,s,0,8
outside,666,s,0,193
outside,594,s,17,379
outside,646,s,34,621
outside,698,s,81,100
outside,666,s,203,250
outside,666,s,277,360
outside,666,s,363,631
outside,594,s,503,510
outside,594,p,575,581
outside,594,s,590,693
outside,646,s,634,647
outside,666,s,639,656
outside,646,s,697,713
outside,594,s,708,712
outside,646,s,740,853
outside,594,s,814,844
outside,646,s,861,1018
outside,594,p,874,891
outside,698,s,916,941
outside,594,s,926,1011
outside,646,s,1018,1205
outside,594,s,1023,1027
outside,594,s,1093,1123
outside,698,s,1296,1317
outside,698,s,1344,1430
outside,666,s,1711,1728
outside,666,s,1753,2086
outside,698,s,1884,1937
outside,698,s,1945,1947
outside,698,s,2047,2368
outside,666,s,2093,2384
outside,646,s,2095,2461
outside,666,s,2396,2474
outside,698,s,2431,2484
outside,646,s,2480,2748
outside,666,s,2505,2568
outside,646,s,2753,2875
outside,646,s,2881,2915
outside,646,s,2927,2996
outside,698,s,3080,3100
outside,698,s,3100,3275
outside,666,s,3238,3746
outside,698,s,3536,3565
outside,666,s,3755,3841
outside,666,s,3849,3944
outside,698,s,3883,3988
outside,646,s,3938,4166
outside,666,s,3958,4005
outside,698,s,4131,4150
outside,698,s,4286,4669
outside,666,s,4647,5182
outside,698,s,4728,5182
outside,643,s,4872,4873
outside,666,s,5182,5354
outside,698,s,5182,5206
outside,698,s,5210,5315
outside,698,s,5373,5384
outside,666,p,5378,5379
outside,698,s,5394,5462
outside,666,s,5397,5398
outside,666,p,5418,5426
outside,666,s,5441,5492
outside,646,s,5457,5814
outside,698,s,5476,5546
outside,646,s,5820,5831
outside,646,s,5867,5873
outside,643,s,5912,5930
outside,698,s,5917,5927
outside,646,s,5941,6614
outside,698,s,6035,6071
outside,698,s,6086,6136
outside,666,s,6140,6494
outside,698,s,6140,6144
outside,698,s,6155,6161
outside,643,w,6266,6268
outside,698,s,6404,6410
outside,698,s,6485,6495
outside,666,s,6498,6672
outside,646,s,6676,6685
outside,666,s,6678,6685
outside,666,s,6687,6838
outside,666,s,6842,6843
outside,666,s,6850,6897
outside,666,s,6908,6915
outside,698,s,7076,7264
outside,698,s,7264,7300
