Ant_ID,time,Action
397,5254,enter
397,5356,exit
397,7436,enter
397,7601,exit
397,8447,enter
397,8489,exit
397,9472,enter
397,9800,exit
397,10037,enter
397,10101,exit
397,13026,enter
458,13113,exit
458,13206,enter
463,12468,exit
463,12489,enter
491,4489,exit
491,4873,enter
491,5179,exit
491,5235,enter
491,12789,exit
491,12829,enter
491,13233,exit
528,1585,enter
528,1647,exit
528,2524,enter
528,4263,exit
528,5705,enter
528,5723,exit
528,5972,enter
528,5985,exit
528,6007,enter
528,6013,exit
528,6053,enter
528,6056,exit
528,6101,enter
528,6110,exit
528,6228,enter
528,6236,exit
528,6343,enter
528,6391,exit
528,6405,enter
528,6410,exit
528,6453,enter
528,6542,exit
528,9230,enter
528,9905,exit
528,11380,enter
528,11401,exit
528,11495,enter
528,13071,exit
543,5006,exit
543,5040,enter
543,5560,exit
543,5659,enter
564,12820,exit
564,13145,enter
594,1339,enter
594,2044,exit
594,2824,enter
594,3002,exit
594,4429,enter
594,4666,exit
594,5188,enter
594,5282,exit
594,5593,enter
594,7226,exit
594,7636,enter
594,8221,exit
594,9040,enter
594,9663,exit
594,11225,enter
594,11842,exit
631,1615,enter
631,1677,exit
631,5425,enter
631,5470,exit
631,8793,enter
631,8849,exit
631,9098,enter
631,9498,exit
643,2569,enter
643,2702,exit
643,8379,enter
643,8423,exit
643,8432,enter
643,8485,exit
643,8807,enter
643,8831,exit
643,8896,enter
643,8985,exit
643,11513,enter
643,11569,exit
643,11630,enter
643,12394,exit
646,3619,enter
646,3666,exit
646,5014,enter
646,5059,exit
646,6920,enter
646,7357,exit
646,10518,enter
646,11153,exit
646,12214,enter
646,12440,exit
656,13006,exit
656,13093,enter
666,842,enter
666,1039,exit
666,1180,enter
666,1429,exit
666,2756,enter
666,3044,exit
666,4173,enter
666,4425,exit
666,5724,enter
666,5912,exit
666,7160,enter
666,7646,exit
666,9226,enter
666,9514,exit
666,10944,enter
666,11246,exit
666,12560,enter
666,12672,exit
703,5413,enter
703,5583,exit
703,5849,enter
703,9668,exit
703,9714,enter
703,12896,exit
703,13057,enter
703,13136,exit
703,13383,enter
703,13538,exit
795,5021,exit
795,8671,enter
795,8829,exit
795,9602,enter
795,9753,exit
795,9876,enter
795,10022,exit
795,10201,enter
795,12409,exit
822,12885,exit
822,12973,enter
822,13238,exit
822,13359,enter
822,13663,exit
822,13706,enter
