Location,Ant_ID,Food,start,end
outside,594,s,1379,1428
outside,594,s,1432,1439
outside,594,s,1449,1483
outside,594,p,1488,1496
outside,594,p,1503,1504
outside,594,s,1516,1517
outside,666,s,3193,3220
outside,594,s,3224,3282
outside,666,s,3241,3273
outside,594,s,3284,3348
outside,666,s,3288,3341
outside,666,s,3349,3352
outside,594,s,3371,3398
outside,666,p,3411,3522
outside,643,s,3438,3479
outside,643,s,3491,3497
outside,666,p,3536,3560
outside,666,s,3602,3666
outside,666,s,3685,3722
outside,643,s,3688,3724
outside,643,s,3726,3776
outside,643,s,3780,3826
outside,643,s,3849,3858
outside,666,s,4540,4667
outside,666,s,4674,4716
outside,666,s,4727,4728
outside,594,s,4761,4763
outside,594,w,4787,4790
outside,594,s,4793,4898
outside,594,s,4907,4934
outside,594,s,4935,4974
outside,594,s,4977,5019
outside,666,s,5589,5781
outside,666,s,5788,5791
outside,594,s,5821,5880
outside,594,s,5884,6104
outside,643,s,6173,6232
outside,643,s,6240,6327
outside,643,s,6341,6352
outside,643,p,6370,6462
outside,643,p,6472,6564
outside,643,p,6576,6926
outside,666,s,6974,7141
outside,666,s,7157,7159
outside,666,s,7162,7231
outside,666,s,7248,7259
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
