	Location	Ant_ID	Ant_ID_(partner)	start_time	end_time	duration
0	4.0	671	66	0.0	226.0	226.0
1	4.0	796	109	10.0	106.0	96.0
2	4.0	109	769	10.0	106.0	96.0
3	4.0	495	199	35.0	80.0	45.0
4	4.0	671	796	280.0	328.0	48.0
5	4.0	671	495	345.0	353.0	8.0
6	4.0	671	42	389.0	549.0	160.0
7	1.0	269	699	462.0	810.0	348.0
8	4.0	671	397	559.0	593.0	34.0
9	4.0	671	397	601.0	606.0	5.0
10	4.0	671	758	630.0	781.0	151.0
11	4.0	397	565	702.0	871.0	169.0
12	4.0	758	671	832.0	915.0	83.0
13	4.0	570	161	937.0	942.0	5.0
14	4.0	495	671	984.0	1020.0	36.0
15	1.0	797	46	1011.0	1023.0	12.0
16	4.0	495	671	1030.0	1083.0	53.0
17	1.0	269	646	1032.0	1308.0	276.0
18	4.0	109	671	1140.0	1169.0	29.0
19	4.0	565	671	1247.0	1255.0	8.0
20	4.0	565	424	1290.0	1293.0	3.0
21	1.0	267	657	1367.0	1598.0	231.0
22	4.0	796	108	1385.0	1430.0	45.0
23	4.0	565	424	1435.0	1450.0	15.0
24	1.0	646	699	1457.0	1586.0	129.0
25	4.0	671	108	1459.0	1579.0	120.0
26	4.0	429	698	1463.0	1466.0	3.0
27	4.0	796	428	1502.0	1504.0	2.0
28	4.0	495	698	1524.0	1537.0	13.0
29	4.0	495	428	1566.0	1618.0	52.0
30	4.0	495	796	1677.0	1679.0	2.0
31	4.0	495	796	1688.0	1940.0	252.0
32	1.0	657	600	1747.0	1765.0	18.0
33	4.0	790	199	1759.0	1803.0	44.0
34	4.0	671	565	1761.0	1782.0	21.0
35	4.0	790	199	1814.0	1819.0	5.0
36	4.0	671	424	1833.0	1838.0	5.0
37	4.0	790	594	1834.0	2371.0	537.0
38	4.0	108	109	1842.0	1866.0	24.0
39	4.0	109	108	1872.0	2029.0	157.0
40	4.0	397	758	1882.0	1894.0	12.0
41	1.0	600	646	1884.0	2174.0	290.0
42	4.0	758	397	1901.0	1933.0	32.0
43	4.0	758	397	1949.0	2070.0	121.0
44	4.0	796	495	1951.0	2013.0	62.0
45	4.0	565	424	1976.0	1993.0	17.0
46	4.0	702	66	1985.0	1995.0	10.0
47	4.0	796	495	2039.0	2134.0	95.0
48	4.0	108	106	2056.0	2485.0	429.0
49	1.0	76	699	2144.0	2205.0	61.0
50	1.0	819	262	2225.0	2240.0	15.0
51	1.0	46	797	2227.0	2243.0	16.0
52	4.0	758	397	2259.0	2554.0	295.0
53	4.0	495	424	2268.0	2295.0	27.0
54	1.0	353	18	2286.0	2322.0	36.0
55	1.0	46	600	2307.0	2339.0	32.0
56	1.0	657	77	2311.0	2343.0	32.0
57	1.0	128	43	2357.0	2387.0	30.0
58	1.0	262	18	2373.0	2379.0	6.0
59	1.0	727	295	2387.0	2419.0	32.0
60	1.0	334	353	2389.0	2402.0	13.0
61	1.0	353	133	2405.0	2866.0	461.0
62	4.0	790	594	2408.0	2410.0	2.0
63	1.0	128	448	2425.0	3022.0	597.0
64	1.0	1	18	2430.0	2458.0	28.0
65	1.0	194	133	2439.0	2444.0	5.0
66	1.0	194	353	2439.0	2444.0	5.0
67	1.0	818	195	2447.0	2451.0	4.0
68	1.0	133	265	2470.0	2493.0	23.0
69	1.0	353	265	2470.0	2493.0	23.0
70	1.0	1	18	2471.0	2477.0	6.0
71	4.0	790	199	2481.0	2535.0	54.0
72	1.0	265	353	2498.0	2507.0	9.0
73	1.0	265	133	2498.0	2507.0	9.0
74	1.0	67	267	2501.0	2627.0	126.0
75	1.0	818	571	2513.0	2520.0	7.0
76	1.0	334	298	2516.0	2524.0	8.0
77	1.0	571	18	2538.0	2541.0	3.0
78	1.0	763	265	2540.0	2576.0	36.0
79	1.0	571	18	2548.0	2554.0	6.0
80	4.0	594	570	2558.0	2821.0	263.0
81	4.0	106	428	2616.0	2631.0	15.0
82	4.0	758	161	2632.0	2634.0	2.0
83	4.0	428	698	2655.0	2858.0	203.0
84	4.0	397	657	2656.0	2802.0	146.0
85	4.0	161	758	2657.0	2669.0	12.0
86	4.0	424	76	2681.0	2906.0	225.0
87	4.0	109	108	2778.0	3126.0	348.0
88	4.0	428	657	2912.0	2918.0	6.0
89	4.0	758	594	2959.0	3137.0	178.0
90	1.0	353	819	2963.0	3075.0	112.0
91	1.0	67	133	2976.0	3100.0	124.0
92	1.0	763	699	3073.0	3085.0	12.0
93	1.0	600	298	3123.0	3388.0	265.0
94	1.0	77	819	3129.0	3232.0	103.0
95	1.0	133	265	3132.0	3343.0	211.0
96	4.0	758	594	3144.0	3167.0	23.0
97	4.0	106	108	3154.0	3210.0	56.0
98	4.0	758	594	3176.0	3180.0	4.0
99	4.0	594	758	3186.0	3263.0	77.0
100	4.0	702	42	3232.0	3247.0	15.0
101	4.0	108	119	3237.0	3246.0	9.0
102	4.0	630	76	3244.0	3408.0	164.0
103	4.0	702	698	3272.0	3340.0	68.0
104	4.0	108	199	3279.0	3284.0	5.0
105	4.0	291	758	3291.0	3294.0	3.0
106	4.0	758	594	3342.0	3351.0	9.0
107	4.0	166	108	3347.0	3744.0	397.0
108	4.0	698	702	3367.0	3372.0	5.0
109	1.0	298	600	3404.0	3612.0	208.0
110	4.0	758	790	3421.0	3434.0	13.0
111	1.0	77	133	3443.0	3479.0	36.0
112	4.0	790	758	3454.0	3880.0	426.0
113	4.0	495	42	3485.0	3782.0	297.0
114	1.0	77	133	3498.0	3691.0	193.0
115	4.0	397	657	3503.0	3746.0	243.0
116	4.0	424	495	3824.0	3834.0	10.0
117	4.0	594	108	3827.0	3939.0	112.0
118	4.0	128	756	3882.0	4238.0	356.0
119	4.0	758	790	3889.0	3912.0	23.0
120	4.0	765	594	3968.0	4403.0	435.0
121	4.0	790	758	3985.0	3987.0	2.0
122	4.0	397	657	3985.0	4214.0	229.0
123	4.0	790	758	3989.0	4166.0	177.0
124	1.0	265	133	3992.0	4282.0	290.0
125	1.0	133	265	4320.0	4356.0	36.0
126	4.0	161	790	4365.0	4692.0	327.0
127	4.0	756	106	4497.0	4846.0	349.0
128	4.0	424	698	4813.0	4858.0	45.0
129	4.0	420	698	4862.0	4880.0	18.0
130	4.0	424	106	4980.0	4984.0	4.0
131	4.0	106	109	5039.0	5428.0	389.0
132	4.0	42	796	5050.0	5057.0	7.0
133	1.0	q	143	5060.0	5086.0	26.0
134	4.0	790	108	5156.0	5328.0	172.0
135	1.0	262	1	5281.0	5299.0	18.0
136	1.0	532	262	5343.0	5349.0	6.0
137	1.0	143	72	5364.0	5379.0	15.0
138	1.0	334	448	5365.0	5923.0	558.0
139	1.0	539	1	5365.0	5447.0	82.0
140	1.0	291	539	5374.0	5379.0	5.0
141	1.0	1	291	5374.0	5379.0	5.0
142	1.0	195	72	5431.0	5515.0	84.0
143	1.0	174	262	5464.0	5476.0	12.0
144	1.0	33	262	5500.0	5509.0	9.0
145	1.0	33	262	5519.0	5604.0	85.0
146	1.0	18	174	5527.0	5577.0	50.0
147	1.0	539	262	5623.0	5626.0	3.0
148	4.0	119	698	5633.0	5635.0	2.0
149	4.0	76	702	5649.0	5801.0	152.0
150	4.0	698	119	5653.0	5794.0	141.0
151	1.0	571	539	5683.0	5685.0	2.0
152	1.0	77	265	5696.0	5698.0	2.0
153	1.0	262	819	5712.0	5734.0	22.0
154	1.0	46	269	5746.0	5754.0	8.0
155	4.0	42	565	5752.0	5899.0	147.0
156	1.0	598	532	5786.0	5794.0	8.0
157	4.0	128	76	5816.0	5885.0	69.0
158	4.0	397	702	5862.0	5886.0	24.0
159	1.0	539	265	5865.0	5883.0	18.0
160	1.0	819	598	5878.0	5897.0	19.0
161	1.0	265	539	5888.0	5929.0	41.0
162	1.0	819	532	5902.0	5910.0	8.0
163	4.0	702	657	5914.0	5969.0	55.0
164	1.0	265	539	5930.0	5955.0	25.0
165	1.0	46	448	5961.0	5976.0	15.0
166	1.0	334	67	5988.0	6178.0	190.0
167	1.0	174	448	5999.0	6067.0	68.0
168	1.0	265	267	6036.0	6039.0	3.0
169	1.0	267	18	6046.0	6053.0	7.0
170	4.0	397	428	6053.0	6105.0	52.0
171	4.0	790	702	6058.0	6078.0	20.0
172	1.0	77	819	6059.0	6071.0	12.0
173	1.0	174	448	6081.0	6116.0	35.0
174	4.0	790	702	6089.0	6114.0	25.0
175	1.0	174	448	6119.0	6152.0	33.0
176	4.0	108	671	6120.0	6173.0	53.0
177	4.0	702	790	6122.0	6156.0	34.0
178	4.0	428	796	6133.0	6137.0	4.0
179	1.0	539	353	6137.0	6270.0	133.0
180	4.0	702	790	6173.0	6357.0	184.0
181	4.0	758	671	6183.0	6505.0	322.0
182	1.0	600	46	6184.0	6257.0	73.0
183	1.0	331	448	6201.0	6439.0	238.0
184	1.0	334	67	6228.0	6248.0	20.0
185	4.0	428	698	6277.0	6306.0	29.0
186	1.0	763	353	6296.0	6401.0	105.0
187	1.0	699	334	6335.0	6342.0	7.0
188	1.0	43	600	6359.0	6478.0	119.0
189	4.0	790	702	6376.0	6385.0	9.0
190	1.0	539	174	6428.0	6508.0	80.0
191	4.0	702	790	6432.0	6487.0	55.0
192	1.0	46	334	6433.0	6510.0	77.0
193	1.0	331	43	6487.0	6489.0	2.0
194	4.0	702	790	6492.0	6775.0	283.0
195	1.0	699	763	6500.0	6578.0	78.0
196	1.0	334	46	6513.0	6520.0	7.0
197	1.0	174	539	6532.0	6549.0	17.0
198	1.0	448	797	6534.0	6691.0	157.0
199	1.0	331	43	6565.0	6567.0	2.0
200	4.0	758	565	6567.0	6884.0	317.0
201	1.0	43	331	6577.0	6584.0	7.0
202	1.0	699	539	6587.0	6600.0	13.0
203	1.0	763	353	6588.0	6613.0	25.0
204	4.0	671	594	6633.0	6700.0	67.0
205	1.0	331	532	6690.0	6698.0	8.0
206	1.0	43	298	6702.0	6748.0	46.0
207	1.0	764	265	6725.0	6897.0	172.0
208	1.0	532	194	6731.0	6745.0	14.0
209	1.0	43	797	6777.0	6783.0	6.0
210	1.0	269	532	6783.0	6796.0	13.0
211	1.0	448	194	6783.0	6943.0	160.0
212	1.0	797	43	6790.0	7108.0	318.0
213	4.0	702	790	6818.0	6875.0	57.0
214	4.0	397	428	6829.0	6843.0	14.0
215	4.0	428	42	6853.0	6953.0	100.0
216	4.0	702	790	6882.0	7067.0	185.0
217	4.0	671	161	6894.0	6902.0	8.0
218	4.0	796	202	6899.0	6923.0	24.0
219	1.0	265	764	6909.0	6932.0	23.0
220	4.0	698	128	6917.0	6922.0	5.0
221	4.0	128	698	6928.0	6988.0	60.0
222	4.0	765	758	6932.0	7037.0	105.0
223	4.0	128	698	7007.0	7040.0	33.0
224	4.0	109	702	7081.0	7289.0	208.0
225	4.0	671	790	7094.0	7129.0	35.0
226	1.0	43	797	7112.0	7159.0	47.0
227	1.0	797	43	7215.0	7297.0	82.0
228	4.0	76	758	7240.0	7250.0	10.0
229	4.0	702	109	7303.0	7399.0	96.0
230	1.0	797	43	7378.0	7532.0	154.0
231	4.0	671	397	7432.0	7754.0	322.0
232	1.0	295	637	7432.0	7455.0	23.0
233	4.0	765	758	7434.0	7499.0	65.0
234	4.0	790	796	7459.0	7788.0	329.0
235	4.0	758	765	7511.0	7620.0	109.0
236	1.0	797	334	7575.0	7606.0	31.0
237	1.0	46	702	7581.0	7596.0	15.0
238	1.0	600	46	7607.0	7625.0	18.0
239	4.0	66	495	7640.0	7714.0	74.0
240	1.0	600	702	7669.0	7679.0	10.0
241	1.0	600	46	7689.0	7897.0	208.0
242	4.0	66	495	7717.0	7740.0	23.0
243	1.0	298	702	7724.0	8036.0	312.0
244	4.0	66	594	7764.0	7775.0	11.0
245	4.0	594	66	7785.0	7798.0	13.0
246	4.0	66	594	7813.0	7822.0	9.0
247	4.0	657	66	7832.0	7843.0	11.0
248	4.0	790	202	7833.0	7888.0	55.0
249	4.0	657	671	7854.0	7870.0	16.0
250	4.0	428	66	7863.0	7874.0	11.0
251	4.0	657	66	7916.0	8008.0	92.0
252	4.0	698	790	7957.0	7963.0	6.0
253	1.0	46	600	7980.0	7988.0	8.0
254	4.0	428	657	8022.0	8047.0	25.0
255	4.0	790	128	8024.0	8898.0	874.0
256	4.0	796	66	8026.0	8349.0	323.0
257	1.0	298	702	8057.0	8060.0	3.0
258	1.0	702	298	8076.0	8119.0	43.0
259	1.0	46	600	8149.0	8302.0	153.0
260	1.0	600	46	8369.0	8377.0	8.0
261	1.0	600	46	8379.0	8382.0	3.0
262	4.0	671	66	8394.0	8402.0	8.0
263	4.0	66	796	8427.0	8442.0	15.0
264	4.0	671	495	8436.0	8438.0	2.0
265	4.0	671	495	8442.0	8451.0	9.0
266	4.0	397	66	8449.0	8468.0	19.0
267	4.0	66	796	8479.0	8801.0	322.0
268	4.0	671	428	8482.0	8495.0	13.0
269	4.0	495	657	8513.0	8723.0	210.0
270	1.0	46	702	8630.0	8640.0	10.0
271	1.0	298	43	8630.0	8680.0	50.0
272	1.0	797	702	8679.0	8841.0	162.0
273	1.0	43	532	8694.0	8697.0	3.0
274	4.0	657	495	8760.0	8910.0	150.0
275	1.0	448	161	8830.0	8838.0	8.0
276	4.0	429	119	8858.0	8864.0	6.0
277	4.0	119	429	8865.0	9035.0	170.0
278	1.0	265	637	8867.0	8875.0	8.0
279	1.0	175	331	8879.0	9201.0	322.0
280	4.0	397	66	8885.0	8888.0	3.0
281	1.0	539	353	8887.0	9020.0	133.0
282	1.0	265	727	8887.0	8917.0	30.0
283	4.0	66	397	8890.0	8892.0	2.0
284	4.0	565	106	8895.0	9192.0	297.0
285	1.0	295	174	8898.0	9259.0	361.0
286	1.0	637	43	8903.0	8985.0	82.0
287	1.0	46	67	8908.0	9062.0	154.0
288	1.0	291	764	8917.0	9130.0	213.0
