Location,Ant_ID,Ant_ID_(partner),start_time,end_time,,,,,,,,,,,,,,,,,,,,,
1,486,765,0,279,,,,,,,,,,,,,,,,,,,,,
1,765,486,0,279,,,,,,,,,,,,,,,,,,,,,
1,4,453,221,229,,,,,,,,,,,,,,,,,,,,,
1,453,4,221,229,,,,,,,,,,,,,,,,,,,,,
1,797,722,309,404,,,,,,,,,,,,,,,,,,,,,
1,722,797,309,404,,,,,,,,,,,,,,,,,,,,,
1,q,453,317,330,,,,,,,,,,,,,,,,,,,,,
1,453,q,317,330,,,,,,,,,,,,,,,,,,,,,
1,q,657,347,355,,,,,,,,,,,,,,,,,,,,,
1,657,q,347,355,,,,,,,,,,,,,,,,,,,,,
1,108,453,347,366,,,,,,,,,,,,,,,,,,,,,
1,453,108,347,366,,,,,,,,,,,,,,,,,,,,,
1,698,72,371,384,,,,,,,,,,,,,,,,,,,,,
1,72,698,371,384,,,,,,,,,,,,,,,,,,,,,
1,688,486,377,411,,,,,,,,,,,,,,,,,,,,,
1,486,688,377,411,,,,,,,,,,,,,,,,,,,,,
1,424,765,399,420,,,,,,,,,,,,,,,,,,,,,
1,765,424,399,420,,,,,,,,,,,,,,,,,,,,,
1,539,72,416,420,,,,,,,,,,,,,,,,,,,,,
1,72,539,416,420,,,,,,,,,,,,,,,,,,,,,
1,797,722,420,426,,,,,,,,,,,,,,,,,,,,,
1,722,797,420,426,,,,,,,,,,,,,,,,,,,,,
1,532,698,429,437,,,,,,,,,,,,,,,,,,,,,
1,698,532,429,437,,,,,,,,,,,,,,,,,,,,,
1,66,657,489,510,,,,,,,,,,,,,,,,,,,,,
1,657,66,489,510,,,,,,,,,,,,,,,,,,,,,
1,66,108,539,557,,,,,,,,,,,,,,,,,,,,,
1,108,66,539,557,,,,,,,,,,,,,,,,,,,,,
1,722,424,567,591,,,,,,,,,,,,,,,,,,,,,
1,424,722,567,591,,,,,,,,,,,,,,,,,,,,,
1,797,108,611,662,,,,,,,,,,,,,,,,,,,,,
1,108,797,611,662,,,,,,,,,,,,,,,,,,,,,
1,722,407,613,627,,,,,,,,,,,,,,,,,,,,,
1,407,722,613,627,,,,,,,,,,,,,,,,,,,,,
1,688,765,730,743,,,,,,,,,,,,,,,,,,,,,
1,765,688,730,743,,,,,,,,,,,,,,,,,,,,,
1,797,795,740,793,,,,,,,,,,,,,,,,,,,,,
1,795,797,740,793,,,,,,,,,,,,,,,,,,,,,
1,688,424,758,773,,,,,,,,,,,,,,,,,,,,,
1,424,688,758,773,,,,,,,,,,,,,,,,,,,,,
1,688,424,783,789,,,,,,,,,,,,,,,,,,,,,
1,424,688,783,789,,,,,,,,,,,,,,,,,,,,,
1,419,565,804,830,,,,,,,,,,,,,,,,,,,,,
1,565,419,804,830,,,,,,,,,,,,,,,,,,,,,
1,108,657,858,904,,,,,,,,,,,,,,,,,,,,,
1,657,108,858,904,,,,,,,,,,,,,,,,,,,,,
1,797,565,870,927,,,,,,,,,,,,,,,,,,,,,
1,565,797,870,927,,,,,,,,,,,,,,,,,,,,,
1,71,424,1020,1040,,,,,,,,,,,,,,,,,,,,,
1,424,71,1020,1040,,,,,,,,,,,,,,,,,,,,,
1,626,4,1023,1391,,,,,,,,,,,,,,,,,,,,,
1,4,626,1023,1391,,,,,,,,,,,,,,,,,,,,,
1,605,797,1065,1067,,,,,,,,,,,,,,,,,,,,,
1,797,605,1065,1067,,,,,,,,,,,,,,,,,,,,,
1,539,755,1077,1123,,,,,,,,,,,,,,,,,,,,,
1,755,539,1077,1123,,,,,,,,,,,,,,,,,,,,,
1,819,36,1095,1144,,,,,,,,,,,,,,,,,,,,,
1,36,819,1095,1144,,,,,,,,,,,,,,,,,,,,,
1,755,599,1157,1164,,,,,,,,,,,,,,,,,,,,,
1,599,755,1157,1164,,,,,,,,,,,,,,,,,,,,,
1,755,599,1169,1183,,,,,,,,,,,,,,,,,,,,,
1,599,755,1169,1183,,,,,,,,,,,,,,,,,,,,,
1,819,486,1216,1312,,,,,,,,,,,,,,,,,,,,,
1,486,819,1216,1312,,,,,,,,,,,,,,,,,,,,,
1,407,754,1312,1328,,,,,,,,,,,,,,,,,,,,,
1,754,407,1312,1328,,,,,,,,,,,,,,,,,,,,,
1,459,424,1315,1329,,,,,,,,,,,,,,,,,,,,,
1,424,459,1315,1329,,,,,,,,,,,,,,,,,,,,,
1,33,418,1316,1332,,,,,,,,,,,,,,,,,,,,,
1,418,33,1316,1332,,,,,,,,,,,,,,,,,,,,,
1,453,666,1317,1335,,,,,,,,,,,,,,,,,,,,,
1,666,453,1317,1335,,,,,,,,,,,,,,,,,,,,,
1,72,564,1318,1371,,,,,,,,,,,,,,,,,,,,,
1,564,72,1318,1371,,,,,,,,,,,,,,,,,,,,,
1,819,795,1327,1339,,,,,,,,,,,,,,,,,,,,,
1,795,819,1327,1339,,,,,,,,,,,,,,,,,,,,,
1,819,36,1365,1380,,,,,,,,,,,,,,,,,,,,,
1,36,819,1365,1380,,,,,,,,,,,,,,,,,,,,,
1,453,33,1375,1389,,,,,,,,,,,,,,,,,,,,,
1,33,453,1375,1389,,,,,,,,,,,,,,,,,,,,,
1,424,722,1393,1452,,,,,,,,,,,,,,,,,,,,,
1,722,424,1393,1452,,,,,,,,,,,,,,,,,,,,,
1,453,495,1398,1406,,,,,,,,,,,,,,,,,,,,,
1,495,453,1398,1406,,,,,,,,,,,,,,,,,,,,,
1,418,755,1415,1429,,,,,,,,,,,,,,,,,,,,,
1,755,418,1415,1429,,,,,,,,,,,,,,,,,,,,,
1,626,754,1418,1448,,,,,,,,,,,,,,,,,,,,,
1,754,626,1418,1448,,,,,,,,,,,,,,,,,,,,,
1,819,36,1420,1438,,,,,,,,,,,,,,,,,,,,,
1,36,819,1420,1438,,,,,,,,,,,,,,,,,,,,,
1,66,4,1424,1484,,,,,,,,,,,,,,,,,,,,,
1,4,66,1424,1484,,,,,,,,,,,,,,,,,,,,,
1,819,605,1445,1474,,,,,,,,,,,,,,,,,,,,,
1,605,819,1445,1474,,,,,,,,,,,,,,,,,,,,,
1,424,722,1465,1501,,,,,,,,,,,,,,,,,,,,,
1,722,424,1465,1501,,,,,,,,,,,,,,,,,,,,,
1,755,599,1476,1513,,,,,,,,,,,,,,,,,,,,,
1,599,755,1476,1513,,,,,,,,,,,,,,,,,,,,,
1,495,108,1483,1620,,,,,,,,,,,,,,,,,,,,,
1,108,495,1483,1620,,,,,,,,,,,,,,,,,,,,,
1,605,754,1496,1504,,,,,,,,,,,,,,,,,,,,,
1,754,605,1496,1504,,,,,,,,,,,,,,,,,,,,,
1,419,4,1517,1532,,,,,,,,,,,,,,,,,,,,,
1,4,419,1517,1532,,,,,,,,,,,,,,,,,,,,,
1,819,722,1556,1565,,,,,,,,,,,,,,,,,,,,,
1,722,819,1556,1565,,,,,,,,,,,,,,,,,,,,,
1,819,722,1574,1607,,,,,,,,,,,,,,,,,,,,,
1,722,819,1574,1607,,,,,,,,,,,,,,,,,,,,,
1,424,626,1575,1580,,,,,,,,,,,,,,,,,,,,,
1,626,424,1575,1580,,,,,,,,,,,,,,,,,,,,,
1,666,532,1576,1593,,,,,,,,,,,,,,,,,,,,,
1,532,666,1576,1593,,,,,,,,,,,,,,,,,,,,,
