Location,Ant_ID,Ant_ID_(partner),start_time,end_time,,,,,,,,,,,,,,,,,,
1,539,453,0,2,,,,,,,,,,,,,,,,,,
1,453,539,0,2,,,,,,,,,,,,,,,,,,
1,539,598,39,82,,,,,,,,,,,,,,,,,,
1,598,539,39,82,,,,,,,,,,,,,,,,,,
1,539,459,193,196,,,,,,,,,,,,,,,,,,
1,459,539,193,196,,,,,,,,,,,,,,,,,,
1,539,449,248,253,,,,,,,,,,,,,,,,,,
1,449,539,248,253,,,,,,,,,,,,,,,,,,
1,453,47,1015,1130,,,,,,,,,,,,,,,,,,
1,47,453,1015,1130,,,,,,,,,,,,,,,,,,
1,459,72,1041,1227,,,,,,,,,,,,,,,,,,
1,72,459,1041,1227,,,,,,,,,,,,,,,,,,
1,108,529,1308,1319,,,,,,,,,,,,,,,,,,
1,529,108,1308,1319,,,,,,,,,,,,,,,,,,
1,495,425,1312,1319,,,,,,,,,,,,,,,,,,
1,425,495,1312,1319,,,,,,,,,,,,,,,,,,
1,823,630,1317,1331,,,,,,,,,,,,,,,,,,
1,630,823,1317,1331,,,,,,,,,,,,,,,,,,
1,598,631,1320,1322,,,,,,,,,,,,,,,,,,
1,631,598,1320,1322,,,,,,,,,,,,,,,,,,
1,795,560,1354,1374,,,,,,,,,,,,,,,,,,
1,560,795,1354,1374,,,,,,,,,,,,,,,,,,
1,636,11,1371,1466,,,,,,,,,,,,,,,,,,
1,11,636,1371,1466,,,,,,,,,,,,,,,,,,
1,453,630,1374,1389,,,,,,,,,,,,,,,,,,
1,630,453,1374,1389,,,,,,,,,,,,,,,,,,
1,728,108,1423,1446,,,,,,,,,,,,,,,,,,
1,108,728,1423,1446,,,,,,,,,,,,,,,,,,
1,423,397,1451,1756,,,,,,,,,,,,,,,,,,
1,397,423,1451,1756,,,,,,,,,,,,,,,,,,
1,636,11,1473,1476,,,,,,,,,,,,,,,,,,
1,11,636,1473,1476,,,,,,,,,,,,,,,,,,
1,560,539,1493,1536,,,,,,,,,,,,,,,,,,
1,539,560,1493,1536,,,,,,,,,,,,,,,,,,
1,495,4,1498,1532,,,,,,,,,,,,,,,,,,
1,4,495,1498,1532,,,,,,,,,,,,,,,,,,
1,598,788,1503,1524,,,,,,,,,,,,,,,,,,
1,788,598,1503,1524,,,,,,,,,,,,,,,,,,
1,14,605,1506,1518,,,,,,,,,,,,,,,,,,
1,605,14,1506,1518,,,,,,,,,,,,,,,,,,
1,666,532,1550,1571,,,,,,,,,,,,,,,,,,
1,532,666,1550,1571,,,,,,,,,,,,,,,,,,
1,560,539,1557,1568,,,,,,,,,,,,,,,,,,
1,539,560,1557,1568,,,,,,,,,,,,,,,,,,
1,449,11,1597,1602,,,,,,,,,,,,,,,,,,
1,11,449,1597,1602,,,,,,,,,,,,,,,,,,
1,795,36,1606,1629,,,,,,,,,,,,,,,,,,
1,36,795,1606,1629,,,,,,,,,,,,,,,,,,
1,453,630,1641,1646,,,,,,,,,,,,,,,,,,
1,630,453,1641,1646,,,,,,,,,,,,,,,,,,
1,11,630,1655,1664,,,,,,,,,,,,,,,,,,
1,630,11,1655,1664,,,,,,,,,,,,,,,,,,
1,428,4,1679,1685,,,,,,,,,,,,,,,,,,
1,4,428,1679,1685,,,,,,,,,,,,,,,,,,
1,11,630,1693,1716,,,,,,,,,,,,,,,,,,
1,630,11,1693,1716,,,,,,,,,,,,,,,,,,
1,453,4,1700,1703,,,,,,,,,,,,,,,,,,
1,4,453,1700,1703,,,,,,,,,,,,,,,,,,
1,532,666,1703,1841,,,,,,,,,,,,,,,,,,
1,666,532,1703,1841,,,,,,,,,,,,,,,,,,
1,11,4,1762,1774,,,,,,,,,,,,,,,,,,
1,4,11,1762,1774,,,,,,,,,,,,,,,,,,
1,397,423,1771,1892,,,,,,,,,,,,,,,,,,
1,423,397,1771,1892,,,,,,,,,,,,,,,,,,
1,449,636,1807,1949,,,,,,,,,,,,,,,,,,
1,636,449,1807,1949,,,,,,,,,,,,,,,,,,
1,495,630,1819,1826,,,,,,,,,,,,,,,,,,
1,630,495,1819,1826,,,,,,,,,,,,,,,,,,
1,11,539,1827,1830,,,,,,,,,,,,,,,,,,
