,c.0..penalty.,lambda.low.est,lambda.high.est,gamma.low.est,gamma.high.est,P.11.est,P.12.est,P.21.est,P.22.est,MSPE.est,accept
Truth,0,0.01,0.08,0.005,0.005,0.995,0.005,0.005,0.995,0,10000
Model 1,1.00E-05,0.032198403,0.104776573,0.121570553,0.123816156,0.887564311,0.112435689,0.114584107,0.885415892,5.345793256,115
Model 2,2.222231111,0.000949516,0.059449687,2.321266735,0.115806708,0.107389305,0.892610695,0.109375463,0.891549669,0.054807008,383
Model 3,4.444452222,0.001284367,0.068371589,1.670194109,0.304482067,0.190491901,0.809508099,0.211174709,0.788623921,0.101977521,102
Model 4,6.666673333,0.030580367,0.078130308,10.44788187,5.014025971,0.000166373,0.999833627,0.98319881,0.007359786,0.066293552,234
Model 5,8.888894444,0.102633129,0.054427777,3.673776901,0.026630389,0.044861581,0.955138419,0.029753357,0.97198579,18.39520598,829
Model 6,11.11111556,0.035110245,0.26779606,0.086002022,2.551921324,0.918207511,0.081792489,0.916954022,0.082980305,0.06994755,217
Model 7,13.33333667,0.004102027,0.059506166,4.536957758,1.436564637,0.048847114,0.951152886,0.135448702,0.862432174,0.089934264,95
Model 8,15.55555778,0.033540216,1.264721958,0.115648516,2.489565719,0.89561997,0.10438003,0.866943206,0.128406418,0.055378335,1092
Model 9,17.77777889,0.02602981,0.186353494,1.037704178,4.820877223,0.689524864,0.310475136,0.884547724,0.111458635,0.054236599,96
Model 10,20,0.004123543,0.068011304,2.025521314,1.887375877,0.171623779,0.828376221,0.304618649,0.694686695,0.053927272,49
