"","c.0..penalty.","lambda.low.est","lambda.high.est","gamma.low.est","gamma.high.est","P.11.est","P.12.est","P.21.est","P.22.est","MSPE.est","accept"
"Truth",0,0.01,0.12,0.005,0.005,0.995,0.005,0.005,0.995,0,50
"Model 1",1e-09,0.00987344558414806,0.132931530232524,0.00464915706931046,0.00481411526027231,0.995361669816804,0.00463833018319631,0.00480252790190795,0.995197472098092,0.0627846204290761,16
"Model 2",1.1112e-05,0.00955876721535028,0.13329100227442,0.00600415378757348,0.00601467628369579,0.994014128470188,0.00598587152981188,0.00599647078919226,0.994003529210808,0.0627434909100472,29
"Model 3",2.2223e-05,0.0100888798117644,0.133731477868098,0.00613756584367494,0.00578751418381377,0.993881415334905,0.00611858466509486,0.00577056853894909,0.994229431461051,0.0627683743525767,27
"Model 4",3.3334e-05,0.00957343032855712,0.131517319553181,0.00647433814455672,0.00698280067966819,0.993546838429135,0.00645316157086474,0.00695626484654587,0.993043735153454,0.0628034865347336,34
"Model 5",4.4445e-05,0.00974549307078966,0.134499978210604,0.00709726604273369,0.00619199954571227,0.992928306531908,0.00707169346809173,0.00617226452636719,0.993827735473633,0.0627802961514214,31
"Model 6",5.5556e-05,0.00978919194027516,0.133307603990489,0.00476887161718718,0.00515464205221876,0.995242537237988,0.00475746276201191,0.00514128305994376,0.994858716940056,0.0627559663434937,29
"Model 7",6.6667e-05,0.0095377263095691,0.133355478129379,0.00604170150838224,0.00561888982289839,0.993976834185774,0.00602316581422625,0.00560259562979137,0.994397404370209,0.0627455706932333,31
"Model 8",7.7778e-05,0.0100187776750438,0.133543693187328,0.00529018682078734,0.00655772122693647,0.994723792859561,0.00527620714043887,0.00653596638535395,0.993464033614646,0.0627854990361691,24
"Model 9",8.8889e-05,0.0098088985154761,0.133399846670263,0.0053690293885853,0.00634985734983773,0.994645398457557,0.00535460154244316,0.00632924088990481,0.993670759110095,0.0627460322784659,33
"Model 10",1e-04,0.00991491703056645,0.132582414728723,0.00628016936229491,0.00618513023263784,0.993740192893757,0.00625980710624256,0.00616576475519557,0.993834235244804,0.0627485428890871,33
