"","c.0..penalty.","lambda.low.est","lambda.high.est","gamma.low.est","gamma.high.est","P.11.est","P.12.est","P.21.est","P.22.est","MSPE.est","accept"
"Truth",0,0.01,0.12,0.005,0.005,0.995,0.005,0.005,0.995,0,10000
"Model 1",1e-05,0.000210120637008953,0.128234983410587,0.141212487542848,0.142353911411795,0.868398550146343,0.131601449853657,0.132594765581457,0.867405234418543,0.0637144616010464,157
"Model 2",0.11112,0.00043799614669712,0.0881640389321647,1.27001325239305,0.323541650007548,0.287372157387966,0.712627842612034,0.274797078696832,0.725202921303168,0.0674687248138829,132
"Model 3",0.22223,0.00046564008227846,0.127842427820092,0.671334952158256,0.698655457281265,0.513192201675078,0.486807798324922,0.500450528970719,0.499549471029281,0.0674577480499302,126
"Model 4",0.33334,0.000288887241376661,0.0949358634785008,1.08721032224432,0.399861991940901,0.341073135897789,0.658926864102211,0.328670778098677,0.671329221901323,0.0674637459305008,135
"Model 5",0.44445,0.000368475321127124,0.0872926661984833,1.29310491691703,0.315313295586037,0.280520489148938,0.719479510851062,0.269381782523703,0.730618217476298,0.0674708458460757,112
"Model 6",0.55556,0.000392147069949119,0.10434726272812,0.920351988714261,0.494867642113878,0.401325628402346,0.598674371597654,0.389094622812287,0.610905377187713,0.0674649066986299,109
"Model 7",0.66667,0.00188371284552624,0.169743583218918,0.452159367102053,0.993233341618353,0.637270387146336,0.362729612853664,0.626150408120091,0.373849591879909,0.0674712583807458,101
"Model 8",0.77778,0.0209614599750394,0.27698371572976,0.193307245506519,1.6815003339324,0.824621067427889,0.175378932572111,0.806071023798824,0.193928976201176,0.0673700345375449,126
"Model 9",0.88889,0.00040751049794479,0.110293591398732,0.839395271297636,0.547178389272499,0.435580907183019,0.564419092816981,0.419507789373375,0.580492210626625,0.0674396572012962,90
"Model 10",1,0.00186681917529448,0.175980528618931,0.429608706117818,1.02297656134003,0.651784008830369,0.348215991169631,0.636906107549579,0.363093892450421,0.0674169935851861,134
