,c.0..penalty.,lambda.low.est,lambda.high.est,gamma.low.est,gamma.high.est,P.11.est,P.12.est,P.21.est,P.22.est,MSPE.est,accept
1,0,0.01,0.12,0.005,0.005,0.995,0.005,0.005,0.995,0,5000
2,1.39E-11,0.01134555,0.129036862,0.004902357,0.005083524,0.995109651,0.004890349,0.005070616,0.994929384,0.057302225,15
3,2.29E-11,0.011735084,0.130307168,0.004989402,0.004988334,0.995023031,0.004976969,0.004975907,0.995024093,0.057293464,31
4,3.78E-11,0.010991308,0.127440275,0.00453278,0.005349744,0.995477524,0.004522476,0.005335435,0.994664565,0.0573313,42
5,6.22E-11,0.011526245,0.130821155,0.004292889,0.005430938,0.995716371,0.004283629,0.005416169,0.994583831,0.057246238,84
6,1.03E-10,0.011182341,0.127207201,0.004968709,0.004515087,0.995043789,0.004956211,0.004504826,0.995495174,0.057367814,137
7,1.69E-10,0.010907199,0.127894148,0.003881556,0.004390362,0.996126184,0.003873816,0.004380428,0.995619572,0.057306638,335
8,2.79E-10,0.011244204,0.12789822,0.001922772,0.001736596,0.998080964,0.001919036,0.001733557,0.998266443,0.057346267,1937
9,4.60E-10,0.011701629,0.129657488,0.001051545,0.00106733,0.998949904,0.001050096,0.001065818,0.998934182,0.057328674,2508
10,7.58E-10,0.011075194,0.127111508,0.000728949,0.000734719,0.999271569,0.000728431,0.00073418,0.99926582,0.057361162,2874
11,1.25E-09,0.011622576,0.127061685,0.000821459,0.000824274,0.999178996,0.000821004,0.000823822,0.999176178,0.057437196,2858
12,2.06E-09,0.01177262,0.128914292,0.001038468,0.001044528,0.998962141,0.001037859,0.001043892,0.998956108,0.057369058,2790
13,3.40E-09,0.011819684,0.129482294,0.001233316,0.001255529,0.998767485,0.001232515,0.001254669,0.998745331,0.057348054,2881
14,5.60E-09,0.011607647,0.129393443,0.001647373,0.001657399,0.998354031,0.001645969,0.00165598,0.99834402,0.05731797,2794
15,9.24E-09,0.011782151,0.129106852,0.001999305,0.00200702,0.998002723,0.001997277,0.002004975,0.997995025,0.057356538,2893
16,1.52E-08,0.011701654,0.129601047,0.002519636,0.002531463,0.997483562,0.002516438,0.002528222,0.997471778,0.057326377,2903
17,2.51E-08,0.01109896,0.12857338,0.003269422,0.003302663,0.996735955,0.003264045,0.003297176,0.996702824,0.057299538,2842
18,4.14E-08,0.011621668,0.129186189,0.004204158,0.004237791,0.995804724,0.004195276,0.004228762,0.995771238,0.057329735,2882
19,6.83E-08,0.011280379,0.130347439,0.005925015,0.005997311,0.994092647,0.005907353,0.005979211,0.994020789,0.057230179,2639
20,1.13E-07,0.011083417,0.130732414,0.008799581,0.008934582,0.991239524,0.008760476,0.008894285,0.991105715,0.057188403,2513
21,1.86E-07,0.01013549,0.130149502,0.011396431,0.011549918,0.988669615,0.011330385,0.011482009,0.988517991,0.057100076,2369
22,3.06E-07,0.009368956,0.130391481,0.016642127,0.016929105,0.983498833,0.016501167,0.016783363,0.983216637,0.057000905,2155
23,5.04E-07,0.007638425,0.129037886,0.024341837,0.02469666,0.975958745,0.024041255,0.024387099,0.975612901,0.05686365,1996
24,8.32E-07,0.005061659,0.125895613,0.032726157,0.033282388,0.967817944,0.032182056,0.032721631,0.967278369,0.056719197,1889
25,1.37E-06,0.001161209,0.119676142,0.044265349,0.044560261,0.956724479,0.043275521,0.043559802,0.956440198,0.056620866,1751
26,2.26E-06,0.000711408,0.121542623,0.059701076,0.060283013,0.942096196,0.057903804,0.058450791,0.941549209,0.056488627,1681
27,3.73E-06,0.000750759,0.119664853,0.081075849,0.081566846,0.922245476,0.077754524,0.078196093,0.921803907,0.056637907,1529
28,6.14E-06,0.000645345,0.119366209,0.107048861,0.108151008,0.898685025,0.101314975,0.102302372,0.897697628,0.056700184,1468
29,1.01E-05,0.000709356,0.118672425,0.136832857,0.137679604,0.872540961,0.127459039,0.128207149,0.871792851,0.056838421,1544
30,1.67E-05,0.000819925,0.118673326,0.170996236,0.173448893,0.843676753,0.156323247,0.158503708,0.841496292,0.056977155,1462
31,2.75E-05,0.000699611,0.117635316,0.216705143,0.217507093,0.806206561,0.193793439,0.194413193,0.805586807,0.057194672,1448
32,4.54E-05,0.000795976,0.116900462,0.262292845,0.261375249,0.771096794,0.228903206,0.228006084,0.771993916,0.057457091,1485
33,7.49E-05,0.000812473,0.117232227,0.313937012,0.31497582,0.733099853,0.266900147,0.267576298,0.732423702,0.05771494,1511
34,0.00012341,0.001045096,0.11754948,0.365871139,0.367793773,0.697549434,0.302450566,0.30399706,0.69600294,0.058018707,1535
35,0.000203468,0.001060796,0.11713942,0.422730959,0.425053362,0.659964561,0.340035439,0.341606839,0.658393161,0.058369109,1549
36,0.000335463,0.000948778,0.116272478,0.476756022,0.473016981,0.62616903,0.37383097,0.370789293,0.629210707,0.058722745,1623
37,0.000553084,0.001338314,0.117992983,0.508142725,0.512770025,0.610059098,0.389940902,0.393488595,0.606511405,0.058910336,1649
38,0.000911882,0.001131748,0.117398332,0.551206506,0.55369649,0.584539807,0.415460193,0.417474963,0.582525037,0.059181627,1746
39,0.001503439,0.001092425,0.116934005,0.583551608,0.583545956,0.566363242,0.433636758,0.434124282,0.565875718,0.059390255,1713
40,0.002478752,0.001231616,0.119830446,0.593735966,0.605035914,0.562850962,0.437149038,0.445758625,0.554241375,0.05942876,1725
41,0.004086771,0.001000879,0.1182245,0.59945868,0.611881823,0.560243097,0.439756903,0.446806653,0.553193347,0.0595387,1776
42,0.006737947,0.001034236,0.11734541,0.624100308,0.606313147,0.548305475,0.451694525,0.444613176,0.555386824,0.059553113,1763
