"","c.0..penalty.","lambda.low.est","lambda.high.est","P.11.est","P.12.est","P.21.est","P.22.est","MSPE.est"
"Truth",0,0.01,0.08,0.995,0.005,0.005,0.995,0
"Model 1",1e-05,0.00479290906593792,0.119492875702215,0.887411282247426,0.112588717752574,0.113644493175464,0.88635550909745,0.0522478292843646
"Model 2",1.11112,0.000440413309668346,0.101041084500165,0.632780727314954,0.367219272685046,0.366368251056173,0.633623547897526,0.0502677015748973
"Model 3",2.22223,0.000748521377503392,0.117034380047148,0.634337048634619,0.365662951365381,0.366819237189213,0.633243002076474,0.0544613631689495
"Model 4",3.33334,0.00057494459066124,0.1009581265236,0.632825731895049,0.367174268104951,0.366005709761768,0.634004666975824,0.0502736053376583
"Model 5",4.44445,0.00102955360983501,0.101116504822985,0.633135532286201,0.366864467713799,0.367584370777475,0.632987398232229,0.0520583735934949
"Model 6",5.55556,0.00054258249994304,0.101076176442185,0.632329608469665,0.367670391530335,0.367649462791368,0.632348908326799,0.0502724428944836
"Model 7",6.66667,0.002257781286792,0.100502314574785,0.646757088894162,0.353242911105838,0.356275941307954,0.64376371323923,0.050301571912782
"Model 8",7.77778,0.00177348568409039,0.101657113268813,0.640903788489514,0.359096211510486,0.362365138174943,0.637651627411413,0.0504472184294601
"Model 9",8.88889,0.000933925049758212,0.101698890801653,0.638643584486527,0.361356415513473,0.367164958164087,0.635242135109917,0.0502911322949943
"Model 10",10,0.00255224542127917,0.101087314030868,0.632273804717323,0.367726195282677,0.367735015064026,0.632276174249304,0.0715456895662312
